SMILES,CHEMICAL_NAME,TPSA,xlogP3
OC([C@H]1N(C([C@H]2NCCC2)=O)CC(O)C1)=O,pro-hydroxy-pro,89.87,-1.2151999999999992
O[C@H]1C[C@]2([H])[C@]([C@@]3([H])C[C@H](OS(O)(=O)=O)[C@@]4(C)[C@](CC[C@@]4([C@H](C)CCC(O)=O)[H])([H])[C@]3([H])CC2)(C)CC1,deoxycholic acid 12-sulfate*,121.13,4.305000000000003
